Time_PK	Date	AnneeCode	Année	SemestreCode	Semestre	TrimestreCode	Trimestre	MoisCode	Mois	SemaineCode	Semaine
19500216	16/02/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500201	Février	19500212	Semaine 7
19500217	17/02/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500201	Février	19500212	Semaine 7
19500218	18/02/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500201	Février	19500212	Semaine 7
19500219	19/02/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500201	Février	19500219	Semaine 8
19500220	20/02/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500201	Février	19500219	Semaine 8
19500221	21/02/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500201	Février	19500219	Semaine 8
19500222	22/02/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500201	Février	19500219	Semaine 8
19500223	23/02/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500201	Février	19500219	Semaine 8
19500224	24/02/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500201	Février	19500219	Semaine 8
19500225	25/02/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500201	Février	19500219	Semaine 8
19500226	26/02/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500201	Février	19500226	Semaine 9
19500227	27/02/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500201	Février	19500226	Semaine 9
19500228	28/02/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500201	Février	19500226	Semaine 9
19500301	01/03/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500301	Mars	19500226	Semaine 9
19500302	02/03/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500301	Mars	19500226	Semaine 9
19500303	03/03/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500301	Mars	19500226	Semaine 9
19500304	04/03/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500301	Mars	19500226	Semaine 9
19500305	05/03/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500301	Mars	19500305	Semaine 10
19500306	06/03/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500301	Mars	19500305	Semaine 10
19500307	07/03/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500301	Mars	19500305	Semaine 10
19500308	08/03/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500301	Mars	19500305	Semaine 10
19500309	09/03/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500301	Mars	19500305	Semaine 10
19500310	10/03/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500301	Mars	19500305	Semaine 10
19500311	11/03/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500301	Mars	19500305	Semaine 10
19500312	12/03/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500301	Mars	19500312	Semaine 11
19500313	13/03/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500301	Mars	19500312	Semaine 11
19500314	14/03/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500301	Mars	19500312	Semaine 11
19500315	15/03/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500301	Mars	19500312	Semaine 11
19500316	16/03/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500301	Mars	19500312	Semaine 11
19500317	17/03/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500301	Mars	19500312	Semaine 11
19500318	18/03/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500301	Mars	19500312	Semaine 11
19500319	19/03/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500301	Mars	19500319	Semaine 12
19500320	20/03/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500301	Mars	19500319	Semaine 12
19500321	21/03/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500301	Mars	19500319	Semaine 12
19500322	22/03/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500301	Mars	19500319	Semaine 12
19500323	23/03/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500301	Mars	19500319	Semaine 12
19500324	24/03/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500301	Mars	19500319	Semaine 12
19500325	25/03/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500301	Mars	19500319	Semaine 12
19500326	26/03/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500301	Mars	19500326	Semaine 13
19500327	27/03/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500301	Mars	19500326	Semaine 13
19500328	28/03/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500301	Mars	19500326	Semaine 13
19500329	29/03/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500301	Mars	19500326	Semaine 13
19500330	30/03/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500301	Mars	19500326	Semaine 13
19500331	31/03/1950	19500101	1950	19500101	Semestre 1	19500101	Trimestre 1	19500301	Mars	19500326	Semaine 13
19500401	01/04/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500401	Avril	19500326	Semaine 13
19500402	02/04/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500401	Avril	19500402	Semaine 14
19500403	03/04/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500401	Avril	19500402	Semaine 14
19500404	04/04/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500401	Avril	19500402	Semaine 14
19500405	05/04/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500401	Avril	19500402	Semaine 14
19500406	06/04/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500401	Avril	19500402	Semaine 14
19500407	07/04/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500401	Avril	19500402	Semaine 14
19500408	08/04/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500401	Avril	19500402	Semaine 14
19500409	09/04/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500401	Avril	19500409	Semaine 15
19500410	10/04/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500401	Avril	19500409	Semaine 15
19500411	11/04/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500401	Avril	19500409	Semaine 15
19500412	12/04/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500401	Avril	19500409	Semaine 15
19500413	13/04/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500401	Avril	19500409	Semaine 15
19500414	14/04/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500401	Avril	19500409	Semaine 15
19500415	15/04/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500401	Avril	19500409	Semaine 15
19500416	16/04/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500401	Avril	19500416	Semaine 16
19500417	17/04/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500401	Avril	19500416	Semaine 16
19500418	18/04/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500401	Avril	19500416	Semaine 16
19500419	19/04/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500401	Avril	19500416	Semaine 16
19500420	20/04/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500401	Avril	19500416	Semaine 16
19500421	21/04/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500401	Avril	19500416	Semaine 16
19500422	22/04/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500401	Avril	19500416	Semaine 16
19500423	23/04/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500401	Avril	19500423	Semaine 17
19500424	24/04/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500401	Avril	19500423	Semaine 17
19500425	25/04/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500401	Avril	19500423	Semaine 17
19500426	26/04/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500401	Avril	19500423	Semaine 17
19500427	27/04/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500401	Avril	19500423	Semaine 17
19500428	28/04/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500401	Avril	19500423	Semaine 17
19500429	29/04/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500401	Avril	19500423	Semaine 17
19500430	30/04/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500401	Avril	19500430	Semaine 18
19500501	01/05/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500501	Mai	19500430	Semaine 18
19500502	02/05/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500501	Mai	19500430	Semaine 18
19500503	03/05/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500501	Mai	19500430	Semaine 18
19500504	04/05/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500501	Mai	19500430	Semaine 18
19500505	05/05/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500501	Mai	19500430	Semaine 18
19500506	06/05/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500501	Mai	19500430	Semaine 18
19500507	07/05/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500501	Mai	19500507	Semaine 19
19500508	08/05/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500501	Mai	19500507	Semaine 19
19500509	09/05/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500501	Mai	19500507	Semaine 19
19500510	10/05/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500501	Mai	19500507	Semaine 19
19500511	11/05/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500501	Mai	19500507	Semaine 19
19500512	12/05/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500501	Mai	19500507	Semaine 19
19500513	13/05/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500501	Mai	19500507	Semaine 19
19500514	14/05/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500501	Mai	19500514	Semaine 20
19500515	15/05/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500501	Mai	19500514	Semaine 20
19500516	16/05/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500501	Mai	19500514	Semaine 20
19500517	17/05/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500501	Mai	19500514	Semaine 20
19500518	18/05/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500501	Mai	19500514	Semaine 20
19500519	19/05/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500501	Mai	19500514	Semaine 20
19500520	20/05/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500501	Mai	19500514	Semaine 20
19500521	21/05/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500501	Mai	19500521	Semaine 21
19500522	22/05/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500501	Mai	19500521	Semaine 21
19500523	23/05/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500501	Mai	19500521	Semaine 21
19500524	24/05/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500501	Mai	19500521	Semaine 21
19500525	25/05/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500501	Mai	19500521	Semaine 21
19500526	26/05/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500501	Mai	19500521	Semaine 21
19500527	27/05/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500501	Mai	19500521	Semaine 21
19500528	28/05/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500501	Mai	19500528	Semaine 22
19500529	29/05/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500501	Mai	19500528	Semaine 22
19500530	30/05/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500501	Mai	19500528	Semaine 22
19500531	31/05/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500501	Mai	19500528	Semaine 22
19500601	01/06/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500601	Juin	19500528	Semaine 22
19500602	02/06/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500601	Juin	19500528	Semaine 22
19500603	03/06/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500601	Juin	19500528	Semaine 22
19500604	04/06/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500601	Juin	19500604	Semaine 23
19500605	05/06/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500601	Juin	19500604	Semaine 23
19500606	06/06/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500601	Juin	19500604	Semaine 23
19500607	07/06/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500601	Juin	19500604	Semaine 23
19500608	08/06/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500601	Juin	19500604	Semaine 23
19500609	09/06/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500601	Juin	19500604	Semaine 23
19500610	10/06/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500601	Juin	19500604	Semaine 23
19500611	11/06/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500601	Juin	19500611	Semaine 24
19500612	12/06/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500601	Juin	19500611	Semaine 24
19500613	13/06/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500601	Juin	19500611	Semaine 24
19500614	14/06/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500601	Juin	19500611	Semaine 24
19500615	15/06/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500601	Juin	19500611	Semaine 24
19500616	16/06/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500601	Juin	19500611	Semaine 24
19500617	17/06/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500601	Juin	19500611	Semaine 24
19500618	18/06/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500601	Juin	19500618	Semaine 25
19500619	19/06/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500601	Juin	19500618	Semaine 25
19500620	20/06/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500601	Juin	19500618	Semaine 25
19500621	21/06/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500601	Juin	19500618	Semaine 25
19500622	22/06/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500601	Juin	19500618	Semaine 25
19500623	23/06/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500601	Juin	19500618	Semaine 25
19500624	24/06/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500601	Juin	19500618	Semaine 25
19500625	25/06/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500601	Juin	19500625	Semaine 26
19500626	26/06/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500601	Juin	19500625	Semaine 26
19500627	27/06/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500601	Juin	19500625	Semaine 26
19500628	28/06/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500601	Juin	19500625	Semaine 26
19500629	29/06/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500601	Juin	19500625	Semaine 26
19500630	30/06/1950	19500101	1950	19500101	Semestre 1	19500401	Trimestre 2	19500601	Juin	19500625	Semaine 26
19500701	01/07/1950	19500101	1950	19500701	Semestre 2	19500701	Trimestre 3	19500701	Juillet	19500625	Semaine 26
19500702	02/07/1950	19500101	1950	19500701	Semestre 2	19500701	Trimestre 3	19500701	Juillet	19500702	Semaine 27
19500703	03/07/1950	19500101	1950	19500701	Semestre 2	19500701	Trimestre 3	19500701	Juillet	19500702	Semaine 27
19500704	04/07/1950	19500101	1950	19500701	Semestre 2	19500701	Trimestre 3	19500701	Juillet	19500702	Semaine 27
19500705	05/07/1950	19500101	1950	19500701	Semestre 2	19500701	Trimestre 3	19500701	Juillet	19500702	Semaine 27
19500706	06/07/1950	19500101	1950	19500701	Semestre 2	19500701	Trimestre 3	19500701	Juillet	19500702	Semaine 27
19500707	07/07/1950	19500101	1950	19500701	Semestre 2	19500701	Trimestre 3	19500701	Juillet	19500702	Semaine 27
19500708	08/07/1950	19500101	1950	19500701	Semestre 2	19500701	Trimestre 3	19500701	Juillet	19500702	Semaine 27
19500709	09/07/1950	19500101	1950	19500701	Semestre 2	19500701	Trimestre 3	19500701	Juillet	19500709	Semaine 28
19500710	10/07/1950	19500101	1950	19500701	Semestre 2	19500701	Trimestre 3	19500701	Juillet	19500709	Semaine 28
19500711	11/07/1950	19500101	1950	19500701	Semestre 2	19500701	Trimestre 3	19500701	Juillet	19500709	Semaine 28
19500712	12/07/1950	19500101	1950	19500701	Semestre 2	19500701	Trimestre 3	19500701	Juillet	19500709	Semaine 28
19500713	13/07/1950	19500101	1950	19500701	Semestre 2	19500701	Trimestre 3	19500701	Juillet	19500709	Semaine 28
19500714	14/07/1950	19500101	1950	19500701	Semestre 2	19500701	Trimestre 3	19500701	Juillet	19500709	Semaine 28
19500715	15/07/1950	19500101	1950	19500701	Semestre 2	19500701	Trimestre 3	19500701	Juillet	19500709	Semaine 28
19500716	16/07/1950	19500101	1950	19500701	Semestre 2	19500701	Trimestre 3	19500701	Juillet	19500716	Semaine 29
19500717	17/07/1950	19500101	1950	19500701	Semestre 2	19500701	Trimestre 3	19500701	Juillet	19500716	Semaine 29
19500718	18/07/1950	19500101	1950	19500701	Semestre 2	19500701	Trimestre 3	19500701	Juillet	19500716	Semaine 29
19500719	19/07/1950	19500101	1950	19500701	Semestre 2	19500701	Trimestre 3	19500701	Juillet	19500716	Semaine 29
19500720	20/07/1950	19500101	1950	19500701	Semestre 2	19500701	Trimestre 3	19500701	Juillet	19500716	Semaine 29
19500721	21/07/1950	19500101	1950	19500701	Semestre 2	19500701	Trimestre 3	19500701	Juillet	19500716	Semaine 29
19500722	22/07/1950	19500101	1950	19500701	Semestre 2	19500701	Trimestre 3	19500701	Juillet	19500716	Semaine 29
19500723	23/07/1950	19500101	1950	19500701	Semestre 2	19500701	Trimestre 3	19500701	Juillet	19500723	Semaine 30
19500724	24/07/1950	19500101	1950	19500701	Semestre 2	19500701	Trimestre 3	19500701	Juillet	19500723	Semaine 30
19500725	25/07/1950	19500101	1950	19500701	Semestre 2	19500701	Trimestre 3	19500701	Juillet	19500723	Semaine 30
19500726	26/07/1950	19500101	1950	19500701	Semestre 2	19500701	Trimestre 3	19500701	Juillet	19500723	Semaine 30
19500727	27/07/1950	19500101	1950	19500701	Semestre 2	19500701	Trimestre 3	19500701	Juillet	19500723	Semaine 30
19500728	28/07/1950	19500101	1950	19500701	Semestre 2	19500701	Trimestre 3	19500701	Juillet	19500723	Semaine 30
19500729	29/07/1950	19500101	1950	19500701	Semestre 2	19500701	Trimestre 3	19500701	Juillet	19500723	Semaine 30
19500730	30/07/1950	19500101	1950	19500701	Semestre 2	19500701	Trimestre 3	19500701	Juillet	19500730	Semaine 31
19500731	31/07/1950	19500101	1950	19500701	Semestre 2	19500701	Trimestre 3	19500701	Juillet	19500730	Semaine 31
19500801	01/08/1950	19500101	1950	19500701	Semestre 2	19500701	Trimestre 3	19500801	Août	19500730	Semaine 31
19500802	02/08/1950	19500101	1950	19500701	Semestre 2	19500701	Trimestre 3	19500801	Août	19500730	Semaine 31
19500803	03/08/1950	19500101	1950	19500701	Semestre 2	19500701	Trimestre 3	19500801	Août	19500730	Semaine 31
19500804	04/08/1950	19500101	1950	19500701	Semestre 2	19500701	Trimestre 3	19500801	Août	19500730	Semaine 31
19500805	05/08/1950	19500101	1950	19500701	Semestre 2	19500701	Trimestre 3	19500801	Août	19500730	Semaine 31
19500806	06/08/1950	19500101	1950	19500701	Semestre 2	19500701	Trimestre 3	19500801	Août	19500806	Semaine 32
19500807	07/08/1950	19500101	1950	19500701	Semestre 2	19500701	Trimestre 3	19500801	Août	19500806	Semaine 32
19500808	08/08/1950	19500101	1950	19500701	Semestre 2	19500701	Trimestre 3	19500801	Août	19500806	Semaine 32
19500809	09/08/1950	19500101	1950	19500701	Semestre 2	19500701	Trimestre 3	19500801	Août	19500806	Semaine 32
19500810	10/08/1950	19500101	1950	19500701	Semestre 2	19500701	Trimestre 3	19500801	Août	19500806	Semaine 32
19500811	11/08/1950	19500101	1950	19500701	Semestre 2	19500701	Trimestre 3	19500801	Août	19500806	Semaine 32
19500812	12/08/1950	19500101	1950	19500701	Semestre 2	19500701	Trimestre 3	19500801	Août	19500806	Semaine 32
19500813	13/08/1950	19500101	1950	19500701	Semestre 2	19500701	Trimestre 3	19500801	Août	19500813	Semaine 33
19500814	14/08/1950	19500101	1950	19500701	Semestre 2	19500701	Trimestre 3	19500801	Août	19500813	Semaine 33
19500815	15/08/1950	19500101	1950	19500701	Semestre 2	19500701	Trimestre 3	19500801	Août	19500813	Semaine 33
19500816	16/08/1950	19500101	1950	19500701	Semestre 2	19500701	Trimestre 3	19500801	Août	19500813	Semaine 33
19500817	17/08/1950	19500101	1950	19500701	Semestre 2	19500701	Trimestre 3	19500801	Août	19500813	Semaine 33
19500818	18/08/1950	19500101	1950	19500701	Semestre 2	19500701	Trimestre 3	19500801	Août	19500813	Semaine 33
